
timestamp                   pv
--------------------------- ------------------- 
2023-12-28T05:12:36.000000Z -1.0500001907348633 
2023-12-26T00:44:24.000000Z -1.0399999618530273 
2023-12-23T02:46:48.000000Z -1.0399999618530273 
2023-12-21T15:48:00.000000Z -1.0500001907348633 
2023-12-20T16:28:48.000000Z -1.0500001907348633 
2023-12-18T00:21:00.000000Z -1.0399999618530273 
2023-12-17T12:41:24.000000Z -1.0500001907348633 
2023-12-16T13:22:12.000000Z -1.0500001907348633 
2023-12-10T23:16:48.000000Z -1.0399999618530273 
2023-11-30T12:35:24.000000Z -1.0500001907348633 
